t	nsat	m	n	chi	lambda	k	timebudget
510	217418	280506	9061	1.0	510	2	5
510	217455	280506	9061	1.0	510	2	5
510	217618	280506	9061	1.0	510	2	5
510	217902	280506	9061	1.0	510	2	5
510	218189	280506	9061	1.0	510	2	5
510	217432	280506	9061	1.0	510	2	5
510	217423	280506	9061	1.0	510	2	5
510	217785	280506	9061	1.0	510	2	5
510	217180	280506	9061	1.0	510	2	5
510	217739	280506	9061	1.0	510	2	5
510	217570	280506	9061	1.0	510	2	5
510	218161	280506	9061	1.0	510	2	5
510	217381	280506	9061	1.0	510	2	5
510	217545	280506	9061	1.0	510	2	5
510	217763	280506	9061	1.0	510	2	5
510	217344	280506	9061	1.0	510	2	5
510	218197	280506	9061	1.0	510	2	5
510	218636	280506	9061	1.0	510	2	5
510	217189	280506	9061	1.0	510	2	5
510	217464	280506	9061	1.0	510	2	5
510	217722	280506	9061	1.0	510	2	5
510	217105	280506	9061	1.0	510	2	5
510	217313	280506	9061	1.0	510	2	5
510	218419	280506	9061	1.0	510	2	5
510	217301	280506	9061	1.0	510	2	5
510	217130	280506	9061	1.0	510	2	5
510	217386	280506	9061	1.0	510	2	5
510	218165	280506	9061	1.0	510	2	5
510	217436	280506	9061	1.0	510	2	5
510	218501	280506	9061	1.0	510	2	5
510	217713	280506	9061	1.0	510	2	5
510	217360	280506	9061	1.0	510	2	5
510	218363	280506	9061	1.0	510	2	5
510	217343	280506	9061	1.0	510	2	5
510	218020	280506	9061	1.0	510	2	5
510	217776	280506	9061	1.0	510	2	5
510	217936	280506	9061	1.0	510	2	5
510	217731	280506	9061	1.0	510	2	5
510	217107	280506	9061	1.0	510	2	5
510	217619	280506	9061	1.0	510	2	5
510	216868	280506	9061	1.0	510	2	5
510	217248	280506	9061	1.0	510	2	5
510	217049	280506	9061	1.0	510	2	5
510	218129	280506	9061	1.0	510	2	5
510	217800	280506	9061	1.0	510	2	5
510	217165	280506	9061	1.0	510	2	5
510	217440	280506	9061	1.0	510	2	5
510	217397	280506	9061	1.0	510	2	5
610	217641	280506	9061	1.0	610	2	5
610	218880	280506	9061	1.0	610	2	5
610	217667	280506	9061	1.0	610	2	5
610	216617	280506	9061	1.0	610	2	5
610	218013	280506	9061	1.0	610	2	5
610	217810	280506	9061	1.0	610	2	5
610	217969	280506	9061	1.0	610	2	5
610	217672	280506	9061	1.0	610	2	5
610	217345	280506	9061	1.0	610	2	5
610	216772	280506	9061	1.0	610	2	5
610	217620	280506	9061	1.0	610	2	5
610	217864	280506	9061	1.0	610	2	5
610	217172	280506	9061	1.0	610	2	5
610	217171	280506	9061	1.0	610	2	5
610	217512	280506	9061	1.0	610	2	5
610	218694	280506	9061	1.0	610	2	5
610	218251	280506	9061	1.0	610	2	5
610	217299	280506	9061	1.0	610	2	5
610	217513	280506	9061	1.0	610	2	5
610	217490	280506	9061	1.0	610	2	5
610	217504	280506	9061	1.0	610	2	5
610	217818	280506	9061	1.0	610	2	5
610	217878	280506	9061	1.0	610	2	5
610	217732	280506	9061	1.0	610	2	5
610	217793	280506	9061	1.0	610	2	5
610	218256	280506	9061	1.0	610	2	5
610	218398	280506	9061	1.0	610	2	5
610	218057	280506	9061	1.0	610	2	5
610	218271	280506	9061	1.0	610	2	5
610	217239	280506	9061	1.0	610	2	5
610	217738	280506	9061	1.0	610	2	5
610	217705	280506	9061	1.0	610	2	5
610	218050	280506	9061	1.0	610	2	5
610	217622	280506	9061	1.0	610	2	5
610	217829	280506	9061	1.0	610	2	5
610	217638	280506	9061	1.0	610	2	5
610	218659	280506	9061	1.0	610	2	5
610	217927	280506	9061	1.0	610	2	5
610	216918	280506	9061	1.0	610	2	5
610	217670	280506	9061	1.0	610	2	5
610	217587	280506	9061	1.0	610	2	5
610	218085	280506	9061	1.0	610	2	5
610	216726	280506	9061	1.0	610	2	5
610	218040	280506	9061	1.0	610	2	5
610	218142	280506	9061	1.0	610	2	5
610	217358	280506	9061	1.0	610	2	5
610	216536	280506	9061	1.0	610	2	5
610	217869	280506	9061	1.0	610	2	5
610	217473	280506	9061	1.0	610	2	5
610	217123	280506	9061	1.0	610	2	5
610	217147	280506	9061	1.0	610	2	5
610	217833	280506	9061	1.0	610	2	5
610	217489	280506	9061	1.0	610	2	5
610	217741	280506	9061	1.0	610	2	5
610	216589	280506	9061	1.0	610	2	5
610	217925	280506	9061	1.0	610	2	5
610	217538	280506	9061	1.0	610	2	5
610	217580	280506	9061	1.0	610	2	5
610	218098	280506	9061	1.0	610	2	5
610	216730	280506	9061	1.0	610	2	5
