n	chi	lambda	k	t	fbest
55	0.6	100	2	14	55
55	0.6	100	2	13	55
55	0.6	100	2	14	55
55	0.6	100	2	13	55
55	0.6	100	2	14	55
55	0.6	100	2	13	55
55	0.6	100	2	15	55
55	0.6	100	2	15	55
55	0.6	100	2	14	55
55	0.6	100	2	13	55
55	0.6	100	2	14	55
55	0.6	100	2	15	55
55	0.6	100	2	14	55
55	0.6	100	2	11	55
55	0.6	100	2	12	55
55	0.6	100	2	11	55
55	0.6	100	2	13	55
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	16	60
60	0.6	100	2	13	60
60	0.6	100	2	13	60
60	0.6	100	2	16	60
60	0.6	100	2	15	60
60	0.6	100	2	14	60
60	0.6	100	2	13	60
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	13	60
60	0.6	100	2	13	60
60	0.6	100	2	14	60
60	0.6	100	2	13	60
60	0.6	100	2	13	60
60	0.6	100	2	10	60
60	0.6	100	2	15	60
60	0.6	100	2	17	60
60	0.6	100	2	15	60
60	0.6	100	2	14	60
60	0.6	100	2	12	60
60	0.6	100	2	15	60
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	15	60
60	0.6	100	2	15	60
60	0.6	100	2	13	60
60	0.6	100	2	16	60
60	0.6	100	2	15	60
60	0.6	100	2	13	60
60	0.6	100	2	15	60
60	0.6	100	2	13	60
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	16	60
60	0.6	100	2	14	60
60	0.6	100	2	13	60
60	0.6	100	2	13	60
60	0.6	100	2	16	60
60	0.6	100	2	13	60
60	0.6	100	2	13	60
60	0.6	100	2	15	60
60	0.6	100	2	13	60
60	0.6	100	2	16	60
60	0.6	100	2	15	60
60	0.6	100	2	13	60
60	0.6	100	2	14	60
60	0.6	100	2	16	60
60	0.6	100	2	13	60
60	0.6	100	2	14	60
60	0.6	100	2	16	60
60	0.6	100	2	16	60
60	0.6	100	2	14	60
60	0.6	100	2	15	60
60	0.6	100	2	15	60
60	0.6	100	2	12	60
60	0.6	100	2	16	60
60	0.6	100	2	15	60
60	0.6	100	2	14	60
60	0.6	100	2	16	60
60	0.6	100	2	16	60
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	15	60
60	0.6	100	2	12	60
60	0.6	100	2	14	60
60	0.6	100	2	16	60
60	0.6	100	2	15	60
60	0.6	100	2	13	60
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	13	60
60	0.6	100	2	13	60
60	0.6	100	2	15	60
60	0.6	100	2	16	60
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	15	60
60	0.6	100	2	11	60
60	0.6	100	2	12	60
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	14	60
60	0.6	100	2	15	60
60	0.6	100	2	14	60
60	0.6	100	2	15	60
60	0.6	100	2	15	60
